"id","Type","Flavor","Filling","Size","Layers","Frosting Type","Frosting Flavor","Decoration Type","Decoration Color","Custom Message","Shape","Allergies","Special Ingredients","Packaging Type","Price","Quantity"
"23","Marble","Lemon","Ganache","15","4","Buttercream","Lemon","Edible Glitter","Yellow","Just Married","Oval","Nut-Free","None","Standard Box","157","2"
"24","Sponge","Strawberry","Cream Cheese","30","4","Ganache","Lemon","Edible Flowers","Gold","Happy Anniversary","Rectangle","Gluten-Free","Organic","Standard Box with Ribbon","97","1"
"25","Marble","Pineapple","Fruit","8","1","Ganache","Chocolate","Gold Flakes","Red","Happy Anniversary","Square","Dairy-Free","Organic","Luxury Box with Ribbon","45","1"
"26","Fruit","Red Velvet","Cream Cheese","25","2","Ganache","Chocolate","Edible Glitter","Silver","Just Married","Oval","Gluten-Free","None","Standard Box","160","5"
"27","Coffee","Pineapple","Mousse","15","1","Ganache","Caramel","Edible Glitter","Yellow","Happy Anniversary","Rectangle","Dairy-Free","Organic","Standard Box","138","4"
"28","Red Velvet","Vanilla","Cream","30","4","Whipped Cream","Red Velvet","Gold Flakes","Blue","Happy Anniversary","Round","Nut-Free","None","Luxury Box","38","4"
"29","Marble","Vanilla","Jam","15","1","Buttercream","Pineapple","Sprinkles","Purple","Happy Anniversary","Oval","Dairy-Free","None","Luxury Box","62","3"
"30","Marble","Chocolate","Ganache","25","3","Ganache","Caramel","Gold Flakes","Yellow","Just Married","Heart-Shaped","Nut-Free","None","Luxury Box with Ribbon","67","3"
"31","Fruit","Caramel","Fruit","25","1","Ganache","Vanilla","Edible Flowers","Pink","Best Wishes","Square","Dairy-Free","None","Standard Box","98","5"
"32","Chocolate","Lemon","Jam","30","2","Buttercream","Strawberry","Fruit Slices","Red","Happy Birthday","Oval","Nut-Free","Organic","Standard Box with Ribbon","101","5"
"33","Fruit","Vanilla","Cream Cheese","30","3","Whipped Cream","Pineapple","Fruit Slices","White","Congratulations","Round","None","Organic","Standard Box with Ribbon","36","2"
"34","Marble","Vanilla","Cream","8","1","Whipped Cream","Red Velvet","Gold Flakes","Purple","Congratulations","Oval","None","Organic","Standard Box","125","1"
"35","Sponge","Vanilla","Cream","8","3","Whipped Cream","Strawberry","Gold Flakes","Blue","Best Wishes","Heart-Shaped","Gluten-Free","Organic","Standard Box","47","2"
"36","Marble","Red Velvet","Jam","30","1","Fondant","Caramel","Edible Glitter","Blue","Thank You","Square","None","Organic","Luxury Box with Ribbon","171","4"
"37","Birthday","Pineapple","Cream Cheese","8","4","Fondant","Strawberry","Fondant Figures","Yellow","Happy Anniversary","Rectangle","Nut-Free","None","Luxury Box with Ribbon","172","5"
"38","Carrot","Red Velvet","Cream Cheese","30","4","Whipped Cream","Red Velvet","Fruit Slices","Yellow","Congratulations","Rectangle","Gluten-Free","None","Standard Box","103","3"
"39","Sponge","Strawberry","Mousse","15","2","Fondant","Red Velvet","Fondant Figures","Red","Happy Anniversary","Oval","Dairy-Free","Organic","Standard Box with Ribbon","60","3"
"40","Coffee","Coffee","Jam","8","3","Whipped Cream","Pineapple","Fruit Slices","Yellow","Happy Birthday","Round","Nut-Free","None","Luxury Box","62","5"
"41","Birthday","Chocolate","Mousse","25","4","Buttercream","Red Velvet","Edible Glitter","Gold","Happy Birthday","Rectangle","None","Organic","Standard Box with Ribbon","175","5"
"42","Birthday","Coffee","Fruit","25","1","Ganache","Strawberry","Fruit Slices","Silver","Congratulations","Rectangle","Gluten-Free","Organic","Luxury Box with Ribbon","69","4"
"43","Birthday","Lemon","Cream Cheese","15","1","Whipped Cream","Vanilla","Edible Flowers","Multi-color","Congratulations","Round","None","None","Standard Box with Ribbon","174","1"
"44","Coffee","Caramel","Ganache","30","1","Ganache","Strawberry","Sprinkles","Blue","Best Wishes","Heart-Shaped","Dairy-Free","Organic","Standard Box with Ribbon","160","1"
"45","Sponge","Vanilla","Cream","8","1","Whipped Cream","Caramel","Edible Glitter","Blue","Thank You","Heart-Shaped","Nut-Free","Organic","Luxury Box with Ribbon","79","3"
"46","Carrot","Red Velvet","Custard","8","1","Whipped Cream","Red Velvet","Fondant Figures","Pink","Thank You","Round","Gluten-Free","None","Luxury Box with Ribbon","141","3"
"47","Coffee","Coffee","Cream","8","2","Fondant","Strawberry","Edible Flowers","Silver","Happy Anniversary","Oval","Dairy-Free","None","Luxury Box with Ribbon","87","2"
"48","Fruit","Lemon","Cream","15","3","Fondant","Red Velvet","Edible Flowers","Multi-color","Thank You","Round","Nut-Free","None","Luxury Box","66","1"
"49","Fruit","Lemon","Cream","8","1","Whipped Cream","Strawberry","Fruit Slices","Blue","Thank You","Rectangle","Gluten-Free","Organic","Standard Box with Ribbon","102","3"
"50","Fruit","Lemon","Mousse","25","4","Whipped Cream","Caramel","Sprinkles","Gold","Just Married","Oval","None","Organic","Luxury Box with Ribbon","47","1"
"51","Sponge","Vanilla","Cream Cheese","30","4","Fondant","Lemon","Fruit Slices","White","Happy Birthday","Square","Gluten-Free","Organic","Standard Box","174","4"
"52","Marble","Vanilla","Jam","8","2","Ganache","Pineapple","Sprinkles","White","Happy Anniversary","Square","Nut-Free","None","Standard Box","71","3"
"53","Fruit","Coffee","Fruit","15","3","Buttercream","Pineapple","Fruit Slices","Silver","Thank You","Square","Nut-Free","None","Standard Box with Ribbon","147","4"
"54","Marble","Lemon","Fruit","30","2","Buttercream","Pineapple","Sprinkles","Purple","Congratulations","Square","None","Organic","Luxury Box with Ribbon","136","3"
"55","Chocolate","Pineapple","Cream Cheese","25","4","Buttercream","Strawberry","Fruit Slices","Silver","Congratulations","Heart-Shaped","None","None","Luxury Box","180","4"
"56","Chocolate","Vanilla","Ganache","15","3","Buttercream","Red Velvet","Fruit Slices","Pink","Thank You","Round","Nut-Free","None","Standard Box","156","3"
"57","Marble","Coffee","Custard","30","3","Ganache","Coffee","Edible Flowers","Multi-color","Thank You","Rectangle","Gluten-Free","None","Luxury Box","102","1"
"58","Fruit","Vanilla","Cream Cheese","8","4","Buttercream","Vanilla","Edible Glitter","White","Congratulations","Rectangle","None","None","Standard Box with Ribbon","109","2"
"59","Fruit","Coffee","Custard","30","1","Ganache","Caramel","Fondant Figures","Gold","Best Wishes","Round","None","Organic","Standard Box with Ribbon","95","5"
"60","Marble","Vanilla","Cream Cheese","8","1","Buttercream","Lemon","Fondant Figures","Purple","Happy Birthday","Heart-Shaped","None","None","Standard Box","61","3"
"61","Sponge","Coffee","Custard","15","2","Whipped Cream","Coffee","Fondant Figures","Purple","Best Wishes","Heart-Shaped","None","Organic","Standard Box with Ribbon","120","5"
"62","Coffee","Caramel","Cream Cheese","15","2","Whipped Cream","Lemon","Fruit Slices","Pink","Happy Birthday","Round","Dairy-Free","None","Luxury Box with Ribbon","82","3"
"63","Fruit","Lemon","Mousse","8","1","Whipped Cream","Red Velvet","Fruit Slices","Red","Happy Birthday","Rectangle","Nut-Free","None","Luxury Box with Ribbon","186","4"
"64","Birthday","Lemon","Cream Cheese","8","1","Fondant","Vanilla","Edible Glitter","Brown","Thank You","Square","Gluten-Free","Organic","Luxury Box with Ribbon","99","4"
"65","Coffee","Strawberry","Ganache","15","2","Ganache","Vanilla","Fondant Figures","Multi-color","Congratulations","Square","None","Organic","Luxury Box with Ribbon","32","5"
"66","Red Velvet","Red Velvet","Cream","8","3","Whipped Cream","Chocolate","Fruit Slices","White","Thank You","Round","None","Organic","Luxury Box with Ribbon","61","3"
"67","Carrot","Caramel","Cream","15","4","Ganache","Chocolate","Gold Flakes","Pink","Just Married","Round","Nut-Free","Organic","Luxury Box with Ribbon","127","3"
"68","Coffee","Strawberry","Ganache","25","1","Ganache","Pineapple","Gold Flakes","Brown","Happy Anniversary","Rectangle","Nut-Free","None","Luxury Box","80","3"
"69","Fruit","Caramel","Ganache","8","3","Whipped Cream","Coffee","Gold Flakes","Gold","Best Wishes","Heart-Shaped","None","None","Luxury Box","170","2"
"70","Chocolate","Pineapple","Fruit","30","1","Ganache","Caramel","Gold Flakes","Purple","Just Married","Square","None","None","Standard Box with Ribbon","36","4"
"71","Chocolate","Chocolate","Mousse","20","1","Whipped Cream","Coffee","Edible Flowers","Brown","Happy Birthday","Rectangle","None","None","Standard Box with Ribbon","108","5"
"72","Marble","Coffee","Custard","15","3","Ganache","Red Velvet","Gold Flakes","Gold","Happy Anniversary","Oval","Dairy-Free","Organic","Standard Box with Ribbon","65","5"
"73","Sponge","Strawberry","Custard","30","1","Fondant","Caramel","Edible Glitter","Blue","Best Wishes","Oval","Nut-Free","Organic","Luxury Box with Ribbon","184","2"
"74","Fruit","Coffee","Cream Cheese","8","4","Ganache","Chocolate","Gold Flakes","White","Happy Birthday","Rectangle","Gluten-Free","Organic","Luxury Box with Ribbon","180","5"
"75","Birthday","Vanilla","Cream","30","1","Whipped Cream","Coffee","Sprinkles","Gold","Happy Birthday","Heart-Shaped","Gluten-Free","Organic","Standard Box","62","4"
"76","Marble","Coffee","Custard","8","3","Fondant","Caramel","Edible Flowers","Purple","Happy Anniversary","Oval","Gluten-Free","Organic","Standard Box with Ribbon","51","4"
"77","Carrot","Pineapple","Cream","30","2","Whipped Cream","Chocolate","Sprinkles","Purple","Thank You","Round","None","Organic","Standard Box with Ribbon","59","5"
"78","Sponge","Strawberry","Cream","8","1","Ganache","Caramel","Sprinkles","Red","Thank You","Square","Gluten-Free","Organic","Standard Box with Ribbon","68","5"
"79","Red Velvet","Chocolate","Mousse","8","1","Ganache","Coffee","Sprinkles","Blue","Best Wishes","Heart-Shaped","Nut-Free","None","Luxury Box","49","2"
"80","Carrot","Strawberry","Jam","25","4","Whipped Cream","Pineapple","Fruit Slices","Yellow","Congratulations","Round","Gluten-Free","None","Luxury Box","35","5"
"81","Chocolate","Coffee","Jam","8","1","Ganache","Red Velvet","Edible Glitter","Yellow","Happy Anniversary","Heart-Shaped","None","None","Luxury Box with Ribbon","35","5"
"82","Birthday","Strawberry","Jam","25","3","Buttercream","Red Velvet","Fruit Slices","Gold","Thank You","Heart-Shaped","Nut-Free","Organic","Standard Box with Ribbon","92","1"
"83","Chocolate","Coffee","Fruit","20","3","Whipped Cream","Lemon","Edible Flowers","Red","Happy Anniversary","Round","None","Organic","Standard Box","75","2"
"84","Carrot","Vanilla","Fruit","8","1","Whipped Cream","Red Velvet","Edible Glitter","Blue","Happy Birthday","Round","Dairy-Free","None","Luxury Box with Ribbon","97","3"
"85","Red Velvet","Vanilla","Cream","25","2","Fondant","Pineapple","Fondant Figures","Purple","Just Married","Round","None","None","Luxury Box","88","5"
"86","Sponge","Vanilla","Cream Cheese","25","4","Buttercream","Pineapple","Sprinkles","Multi-color","Happy Anniversary","Square","Dairy-Free","None","Luxury Box","92","3"
"87","Sponge","Vanilla","Cream Cheese","15","3","Buttercream","Lemon","Fruit Slices","Silver","Thank You","Rectangle","Gluten-Free","Organic","Luxury Box","41","4"
"88","Coffee","Vanilla","Custard","25","2","Ganache","Red Velvet","Edible Flowers","Blue","Thank You","Oval","Gluten-Free","None","Standard Box","190","3"
"89","Carrot","Chocolate","Cream Cheese","25","1","Whipped Cream","Strawberry","Fruit Slices","Gold","Congratulations","Oval","Gluten-Free","None","Standard Box with Ribbon","102","5"
"90","Birthday","Coffee","Fruit","25","1","Whipped Cream","Red Velvet","Fondant Figures","Silver","Congratulations","Heart-Shaped","Dairy-Free","Organic","Standard Box","80","2"
"91","Fruit","Lemon","Custard","30","2","Buttercream","Pineapple","Sprinkles","Pink","Best Wishes","Oval","None","None","Standard Box with Ribbon","195","3"
"92","Sponge","Pineapple","Jam","20","3","Whipped Cream","Red Velvet","Sprinkles","Gold","Thank You","Rectangle","Dairy-Free","None","Standard Box with Ribbon","164","4"
"93","Red Velvet","Red Velvet","Cream","8","2","Ganache","Red Velvet","Fruit Slices","Purple","Happy Anniversary","Oval","Nut-Free","None","Luxury Box","52","4"
"94","Marble","Lemon","Ganache","20","3","Ganache","Pineapple","Fruit Slices","Silver","Just Married","Rectangle","None","Organic","Luxury Box","132","1"
"95","Fruit","Chocolate","Custard","8","3","Fondant","Chocolate","Sprinkles","Pink","Best Wishes","Round","Dairy-Free","None","Luxury Box with Ribbon","116","1"
"96","Birthday","Lemon","Cream Cheese","25","1","Fondant","Pineapple","Gold Flakes","Silver","Happy Anniversary","Heart-Shaped","None","None","Luxury Box","151","2"
"97","Chocolate","Caramel","Mousse","30","3","Fondant","Chocolate","Edible Flowers","Purple","Just Married","Rectangle","Gluten-Free","Organic","Standard Box","161","5"
"98","Red Velvet","Strawberry","Cream","8","3","Ganache","Chocolate","Fruit Slices","Red","Best Wishes","Rectangle","Gluten-Free","Organic","Standard Box with Ribbon","34","5"
"99","Birthday","Caramel","Cream Cheese","25","4","Whipped Cream","Red Velvet","Edible Glitter","Blue","Happy Anniversary","Square","Gluten-Free","Organic","Standard Box","120","1"
"100","Chocolate","Chocolate","Jam","25","1","Whipped Cream","Coffee","Fondant Figures","Pink","Happy Anniversary","Square","Nut-Free","None","Standard Box","123","5"
"101","Chocolate","Coffee","Cream","15","3","Buttercream","Red Velvet","Edible Glitter","Brown","Thank You","Round","Nut-Free","Organic","Luxury Box with Ribbon","64","5"
"102","Chocolate","Chocolate","Ganache","30","4","Buttercream","Caramel","Gold Flakes","Purple","Thank You","Round","None","None","Standard Box","166","4"
"103","Marble","Red Velvet","Fruit","20","1","Ganache","Chocolate","Fruit Slices","White","Just Married","Round","Gluten-Free","None","Standard Box","198","3"
"104","Fruit","Caramel","Ganache","30","4","Fondant","Strawberry","Edible Flowers","Pink","Happy Anniversary","Oval","None","None","Standard Box","200","3"
"105","Marble","Coffee","Custard","20","3","Fondant","Chocolate","Edible Glitter","Gold","Happy Birthday","Oval","None","None","Luxury Box","104","4"
"106","Birthday","Strawberry","Custard","8","4","Whipped Cream","Coffee","Edible Glitter","Red","Happy Anniversary","Heart-Shaped","Dairy-Free","Organic","Standard Box with Ribbon","74","2"
"107","Sponge","Pineapple","Fruit","8","2","Ganache","Coffee","Sprinkles","White","Thank You","Square","None","None","Luxury Box with Ribbon","169","2"
"108","Fruit","Chocolate","Fruit","30","3","Whipped Cream","Red Velvet","Fruit Slices","Purple","Thank You","Oval","Dairy-Free","None","Standard Box with Ribbon","55","5"
"109","Birthday","Coffee","Custard","25","4","Ganache","Strawberry","Gold Flakes","Blue","Thank You","Heart-Shaped","None","None","Luxury Box with Ribbon","149","4"
"110","Fruit","Vanilla","Jam","15","3","Whipped Cream","Coffee","Edible Glitter","Red","Congratulations","Round","Gluten-Free","None","Luxury Box with Ribbon","186","2"
"111","Birthday","Chocolate","Ganache","25","2","Whipped Cream","Red Velvet","Fruit Slices","Brown","Happy Birthday","Square","Dairy-Free","None","Luxury Box","82","2"
"112","Carrot","Coffee","Mousse","25","2","Ganache","Chocolate","Fondant Figures","Silver","Thank You","Square","Dairy-Free","Organic","Luxury Box with Ribbon","151","3"
"113","Chocolate","Vanilla","Cream","30","1","Ganache","Caramel","Edible Flowers","Multi-color","Happy Birthday","Round","Nut-Free","Organic","Luxury Box","178","2"
"114","Fruit","Coffee","Cream Cheese","8","1","Ganache","Coffee","Sprinkles","Pink","Just Married","Heart-Shaped","Nut-Free","Organic","Standard Box","111","3"
"115","Sponge","Coffee","Fruit","25","4","Buttercream","Pineapple","Gold Flakes","Red","Best Wishes","Square","None","Organic","Luxury Box","106","4"
"116","Fruit","Pineapple","Ganache","20","4","Ganache","Red Velvet","Edible Flowers","Yellow","Thank You","Heart-Shaped","None","Organic","Standard Box","131","4"
"117","Birthday","Coffee","Fruit","8","4","Ganache","Strawberry","Edible Glitter","Yellow","Best Wishes","Heart-Shaped","Nut-Free","None","Luxury Box with Ribbon","162","3"
"118","Chocolate","Coffee","Mousse","30","2","Whipped Cream","Strawberry","Gold Flakes","Blue","Happy Anniversary","Rectangle","Gluten-Free","None","Luxury Box","183","4"
"119","Marble","Pineapple","Jam","20","1","Ganache","Caramel","Gold Flakes","Yellow","Just Married","Heart-Shaped","Dairy-Free","Organic","Standard Box","87","4"
"120","Carrot","Coffee","Cream Cheese","25","3","Ganache","Chocolate","Fondant Figures","Silver","Congratulations","Oval","None","None","Luxury Box with Ribbon","40","3"
"121","Birthday","Vanilla","Fruit","25","3","Ganache","Vanilla","Fruit Slices","Red","Thank You","Square","None","Organic","Standard Box with Ribbon","181","2"
"122","Red Velvet","Red Velvet","Custard","20","4","Fondant","Chocolate","Edible Flowers","Pink","Congratulations","Rectangle","None","None","Luxury Box","143","2"
"123","Coffee","Caramel","Cream Cheese","25","2","Ganache","Vanilla","Gold Flakes","Purple","Happy Anniversary","Square","Nut-Free","None","Luxury Box","64","5"
"124","Birthday","Red Velvet","Ganache","8","1","Fondant","Vanilla","Gold Flakes","Gold","Congratulations","Rectangle","Nut-Free","Organic","Standard Box","66","3"
"125","Birthday","Strawberry","Mousse","15","3","Ganache","Vanilla","Edible Flowers","Gold","Thank You","Round","Gluten-Free","None","Luxury Box","53","1"
"126","Chocolate","Lemon","Custard","15","1","Fondant","Lemon","Edible Flowers","Pink","Congratulations","Oval","Gluten-Free","None","Luxury Box","63","4"
"127","Red Velvet","Coffee","Ganache","20","1","Buttercream","Coffee","Sprinkles","Silver","Congratulations","Heart-Shaped","Nut-Free","Organic","Standard Box with Ribbon","86","1"
"128","Red Velvet","Strawberry","Cream Cheese","8","1","Ganache","Pineapple","Fondant Figures","Red","Happy Birthday","Round","Nut-Free","None","Standard Box with Ribbon","179","5"
"129","Fruit","Coffee","Cream Cheese","25","4","Buttercream","Vanilla","Gold Flakes","Gold","Just Married","Rectangle","None","Organic","Standard Box","112","3"
"130","Coffee","Vanilla","Jam","20","4","Buttercream","Pineapple","Fruit Slices","Multi-color","Happy Anniversary","Heart-Shaped","Gluten-Free","None","Standard Box","42","5"
"131","Fruit","Chocolate","Ganache","8","3","Fondant","Lemon","Fruit Slices","White","Thank You","Heart-Shaped","Gluten-Free","Organic","Luxury Box","66","4"
"132","Carrot","Caramel","Ganache","20","3","Buttercream","Pineapple","Fondant Figures","Purple","Happy Anniversary","Round","Dairy-Free","Organic","Luxury Box with Ribbon","56","4"
"133","Red Velvet","Red Velvet","Cream Cheese","8","4","Buttercream","Lemon","Edible Glitter","Gold","Happy Birthday","Oval","Gluten-Free","Organic","Luxury Box with Ribbon","49","2"
"134","Marble","Lemon","Mousse","8","1","Fondant","Red Velvet","Edible Flowers","Brown","Congratulations","Rectangle","Dairy-Free","Organic","Standard Box with Ribbon","102","2"
"135","Coffee","Strawberry","Mousse","30","3","Whipped Cream","Vanilla","Gold Flakes","Yellow","Just Married","Round","Gluten-Free","None","Standard Box with Ribbon","142","2"
"136","Red Velvet","Caramel","Ganache","8","3","Whipped Cream","Pineapple","Gold Flakes","Silver","Congratulations","Heart-Shaped","Nut-Free","None","Standard Box","57","4"
"137","Coffee","Pineapple","Mousse","30","3","Ganache","Lemon","Fruit Slices","Purple","Just Married","Oval","Gluten-Free","None","Standard Box","169","3"
"138","Marble","Vanilla","Ganache","20","1","Whipped Cream","Pineapple","Edible Glitter","White","Happy Anniversary","Oval","Nut-Free","None","Standard Box","78","4"
"139","Fruit","Chocolate","Custard","15","3","Ganache","Vanilla","Fruit Slices","Gold","Happy Birthday","Oval","None","None","Standard Box","56","3"
"140","Fruit","Lemon","Custard","25","2","Fondant","Caramel","Edible Flowers","Brown","Happy Anniversary","Rectangle","Gluten-Free","None","Luxury Box with Ribbon","94","3"
"141","Chocolate","Coffee","Mousse","25","1","Ganache","Coffee","Fruit Slices","White","Best Wishes","Rectangle","Nut-Free","Organic","Luxury Box with Ribbon","186","3"
"142","Carrot","Caramel","Cream","25","1","Buttercream","Chocolate","Edible Glitter","Gold","Happy Birthday","Round","Dairy-Free","None","Standard Box with Ribbon","65","1"
"143","Carrot","Lemon","Fruit","8","3","Buttercream","Red Velvet","Fruit Slices","Purple","Happy Birthday","Heart-Shaped","None","None","Standard Box","35","3"
"144","Sponge","Pineapple","Cream","30","1","Buttercream","Strawberry","Fruit Slices","Multi-color","Thank You","Rectangle","Dairy-Free","Organic","Standard Box","155","4"
"145","Carrot","Red Velvet","Jam","15","4","Ganache","Vanilla","Edible Flowers","Multi-color","Happy Anniversary","Round","Gluten-Free","Organic","Luxury Box with Ribbon","129","3"
"146","Birthday","Pineapple","Jam","15","1","Fondant","Strawberry","Edible Flowers","Brown","Best Wishes","Heart-Shaped","Gluten-Free","Organic","Standard Box","123","1"
"147","Birthday","Vanilla","Mousse","30","4","Whipped Cream","Coffee","Edible Glitter","Multi-color","Happy Birthday","Oval","Nut-Free","Organic","Luxury Box with Ribbon","149","1"
"148","Red Velvet","Red Velvet","Jam","25","3","Whipped Cream","Caramel","Edible Glitter","Yellow","Best Wishes","Heart-Shaped","Dairy-Free","None","Luxury Box","109","1"
"149","Birthday","Strawberry","Mousse","20","4","Fondant","Lemon","Gold Flakes","Purple","Happy Birthday","Heart-Shaped","None","None","Standard Box with Ribbon","99","5"
"150","Chocolate","Lemon","Mousse","8","1","Ganache","Caramel","Fruit Slices","Gold","Best Wishes","Square","Dairy-Free","Organic","Luxury Box with Ribbon","172","3"
"151","Fruit","Lemon","Jam","20","4","Fondant","Pineapple","Edible Flowers","Pink","Best Wishes","Rectangle","Gluten-Free","None","Standard Box","58","5"
"152","Chocolate","Pineapple","Custard","25","1","Ganache","Red Velvet","Edible Flowers","Blue","Best Wishes","Round","Dairy-Free","Organic","Luxury Box with Ribbon","69","5"
"153","Chocolate","Strawberry","Fruit","30","3","Ganache","Pineapple","Sprinkles","Red","Best Wishes","Oval","None","Organic","Standard Box with Ribbon","123","4"
"154","Birthday","Lemon","Mousse","25","3","Ganache","Pineapple","Edible Glitter","Brown","Best Wishes","Rectangle","Dairy-Free","Organic","Standard Box","71","3"
"155","Chocolate","Lemon","Jam","20","3","Fondant","Lemon","Fondant Figures","Red","Thank You","Round","Dairy-Free","Organic","Standard Box","165","2"
"156","Sponge","Red Velvet","Cream Cheese","20","1","Ganache","Chocolate","Fruit Slices","Pink","Happy Birthday","Square","Nut-Free","None","Luxury Box","162","1"
"157","Carrot","Red Velvet","Mousse","25","2","Ganache","Caramel","Edible Glitter","Pink","Thank You","Oval","None","Organic","Luxury Box","62","4"
"158","Red Velvet","Pineapple","Ganache","15","4","Buttercream","Pineapple","Fruit Slices","Blue","Happy Birthday","Oval","Gluten-Free","None","Luxury Box with Ribbon","179","5"
"159","Fruit","Lemon","Custard","25","3","Whipped Cream","Coffee","Gold Flakes","Blue","Thank You","Heart-Shaped","Nut-Free","None","Luxury Box with Ribbon","30","3"
"160","Coffee","Red Velvet","Cream","8","3","Fondant","Pineapple","Edible Glitter","Gold","Just Married","Rectangle","Nut-Free","None","Standard Box with Ribbon","195","3"
"161","Sponge","Red Velvet","Custard","30","3","Fondant","Vanilla","Sprinkles","Purple","Congratulations","Round","None","None","Standard Box","186","4"
"162","Fruit","Strawberry","Ganache","15","2","Whipped Cream","Strawberry","Fruit Slices","Gold","Just Married","Oval","Gluten-Free","None","Luxury Box","40","1"
"163","Red Velvet","Lemon","Custard","20","4","Fondant","Coffee","Edible Flowers","Red","Just Married","Oval","None","Organic","Luxury Box","130","1"
"164","Chocolate","Chocolate","Cream Cheese","20","2","Buttercream","Strawberry","Fruit Slices","Pink","Happy Anniversary","Round","Nut-Free","Organic","Standard Box with Ribbon","143","4"
"165","Fruit","Caramel","Custard","20","2","Buttercream","Pineapple","Edible Glitter","Purple","Thank You","Round","Nut-Free","None","Standard Box with Ribbon","192","5"
"166","Coffee","Chocolate","Custard","15","3","Whipped Cream","Red Velvet","Edible Glitter","Pink","Best Wishes","Rectangle","Nut-Free","Organic","Luxury Box with Ribbon","181","5"
"167","Birthday","Pineapple","Mousse","25","3","Ganache","Pineapple","Fondant Figures","Multi-color","Happy Birthday","Round","Nut-Free","None","Luxury Box with Ribbon","34","3"
